,bookingReference,NPSReason,Topic
720,7880581,It was  without a doubt  the most wonderful holiday. You could not have done any more  than what you had so highly achieved already. From the lovely staff  to the food  to the airline crew  nothing was too much trouble for them. The Family life Nevis is ,flights
721,7880593,All arrangements went well. The hotel room maid service was extremely good. Most of the hotel was clean except the lounge sofas which were filthy  the arms were black and grubby which on a light grey or light orange color was pretty obvious. The main fru,hotel
722,7880600,Everything went well no complaints,great
723,7880602,We had no problems with any part of the holiday  check in was good  transfer was good and the holiday rep was very nice.,booking
724,7880604,Hi  the holiday in Gran Canaria was brilliant. This was our third visit to the Baobab resort  and it was very relaxing. The weather was great. The food at the hotel was superb  I think it was actually better than last year  and some of the chefs were rea,accommodation
725,7880621,Good Morning   My partner ( Mrs Melledew ) and I were flight only to Gran Canaria so we can only comment on that part of this survey . However we particularly want to commend one of the flight attendants ... Laura on our return flight ( TOM 2405 ) on Thu,flights
726,7880625,Booking - staff member was helpful although failed to tell us everything about a property and I felt a little pushed into booking something I perhaps shouldn’t have. Flights- generally good Holiday- hotel was nice but not to our taste in some respects. L,hotel
727,7880631,Value for money  flights on time  staff available at airport.,flights
728,7880638,very little could be improved on hence my score of 9,great
729,7880642,I was a flight only booking in this instance and was very happy with the pleasant and helpful cabin crew. Well done.,flights
730,7880651,The only suggestions for improvement are there could have been an extra mirror in the apartment so you could dry your hair and to get safer transfer drivers  as the one on the way back to Bourgas airport nearly ran me over (as he didn't check his mirror ,hotel
731,7880662,Have already booked to go back next year to cortijo blanco really enjoyed again a lovely hotel to relax,accommodation
732,7880674,flight and transfer was good,flights
733,7880682,After my husband & i having the most horrible honeymoon & me also having my 40th while away (living in a filthy apartment & getting nothing for our special occasions) in the guacimetalanzarote ?? Tui was amazing & put us in premium seats on our way home ,hotel
734,7880685,Majorca was beautiful lovely beach nice bars and restaurants and a really chilled out place to visit but our balcony was on the main strip so did not get much sleep as really noisy with traffic and no air com and tho we had to get a fan from reception it,accommodation
735,7880687,Enjoyed a week in Salou  Costa Dorada in September. The whole trip was well organised from start to finish  and our TUI rep was always around or contactable. Food in the hotel was decent although there was not much selection for me (as a vegetarian). We ,accommodation
